Genus,Species name ,Family,Phyllum,Nutrition type,Growth pattern,Substrate,Use,Date,Longitude,Latitude,Site
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-03,99.30385,25.27335,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-08,99.293367,25.255817,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-12,99.293417,25.259433,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-29,99.300283,25.265783,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-09,99.302217,25.2735,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-18,99.30385,25.27335,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-18,99.293417,25.259433,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-26,99.302217,25.2735,Baoshan
Amanita,parvipantherina,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-25,99.30385,25.27335,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-21,99.29385,25.260833,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-27,99.29385,25.260833,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-31,99.291817,25.251467,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-09-01,99.299017,25.27535,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-08,99.29385,25.260833,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-07-01,99.291817,25.251467,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-03,99.29385,25.260833,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-02,99.291817,25.251467,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-06,99.299017,25.27535,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-14,99.29385,25.260833,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-20,99.291817,25.251467,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-25,99.30505,25.267117,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-26,99.291817,25.251467,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-08-30,99.291817,25.251467,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,litters,inedible,2013-08-30,99.300283,25.265783,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-09-04,99.29385,25.260833,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-04,99.29385,25.260833,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-09-09,99.29265,25.248983,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-09-14,99.299017,25.27535,Baoshan
Amanita,pseudovaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-19,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-01,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-07-06,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-07-31,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-08-25,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-08-30,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-05,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-09-19,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-07-20,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-08-15,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-18,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-27,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-09-01,99.291817,25.251467,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-08,99.30505,25.267117,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-09-17,99.300283,25.265783,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-09-24,99.29265,25.248983,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-10-03,99.303533,25.27325,Baoshan
Amanita,vaginata,Amanitaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-18,99.299017,25.27535,Baoshan
Amauroderma,longisporum,Ganodermataceae,Basidiomycota,NM,grouped,wood,unknown,2013-09-16,99.299017,25.27535,Baoshan
Armillaria,mellea,Physalacriaceae,Basidiomycota,NM,grouped,wood,unknown,2013-08-03,99.30505,25.267117,Baoshan
Armillaria,sp. 1,Physalacriaceae,Basidiomycota,NM,grouped,litters,unknown,2014-08-20,99.30505,25.267117,Baoshan
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,NM,grouped,pine fruit,inedible,2014-07-15,99.30505,25.267117,Baoshan
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,NM,grouped,pine fruit,inedible,2014-07-15,99.300283,25.265783,Baoshan
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,NM,solitary,pine fruit,inedible,2014-07-21,99.293367,25.255817,Baoshan
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,NM,solitary,pine fruit,inedible,2014-09-22,99.300283,25.265783,Baoshan
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,NM,grouped,pine fruit,inedible,2013-07-06,99.300283,25.265783,Baoshan
Auriscalpium,vulgare,Auriscalpiaceae,Basidiomycota,NM,scattered,litters,inedible,2013-08-31,99.303533,25.27325,Baoshan
Austroboletus,fusisporus,Boletaceae,Basidiomycota,ECM,grouped,soil,inedible,2013-08-31,99.30505,25.267117,Baoshan
Austroboletus,fusisporus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-19,99.291817,25.251467,Baoshan
Austroboletus,sp. 1,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-31,99.30385,25.27335,Baoshan
Bjerkandera,fumosa,Meruliaceae,Basidiomycota,NM,grouped,wood,inedible,2013-08-31,99.300283,25.265783,Baoshan
Bjerkandera,fumosa,Meruliaceae,Basidiomycota,NM,grouped,wood,inedible,2013-09-14,99.29265,25.248983,Baoshan
Bjerkandera,fumosa,Meruliaceae,Basidiomycota,NM,solitary,wood,inedible,2013-08-14,99.299017,25.27535,Baoshan
Bjerkandera,fumosa,Meruliaceae,Basidiomycota,NM,grouped,wood,inedible,2014-07-07,99.299017,25.27535,Baoshan
Bjerkandera,sp. 1,Meruliaceae,Basidiomycota,NM,grouped,wood,inedible,2013-08-18,99.299017,25.27535,Baoshan
Bjerkandera,sp. 2,Meruliaceae,Basidiomycota,NM,grouped,wood,inedible,2013-09-11,99.299017,25.27535,Baoshan
Boletellus,chrysenteroides,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-07-21,99.30505,25.267117,Baoshan
Boletellus,chrysenteroides,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-18,99.303533,25.27325,Baoshan
Boletellus,chrysenteroides,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-20,99.300283,25.265783,Baoshan
Boletellus,chrysenteroides,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-26,99.300283,25.265783,Baoshan
Boletellus,chrysenteroides,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-25,99.30385,25.27335,Baoshan
Boletus,auriporus,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-07-15,99.30505,25.267117,Baoshan
Boletus, auriporus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-07-16,99.303533,25.27325,Baoshan
Boletus, impolitus,Boletaceae,Basidiomycota,ECM,grouped,soil,inedible,2014-08-20,99.300283,25.265783,Baoshan
Boletus, impolitus,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-20,99.300283,25.265783,Baoshan
Boletus, impolitus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-26,99.300283,25.265783,Baoshan
Boletus, impolitus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-02,99.300283,25.265783,Baoshan
Boletus, impolitus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-16,99.300283,25.265783,Baoshan
Boletus, impolitus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-23,99.300283,25.265783,Baoshan
Boletus, lupinus,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-07-27,99.300283,25.265783,Baoshan
Boletus,ornatipes,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-08-14,99.300283,25.265783,Baoshan
Boletus,ornatipes,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2014-09-02,99.299017,25.27535,Baoshan
Boletus,ornatipes,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2013-07-29,99.30505,25.267117,Baoshan
Boletus,ornatipes,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-14,99.30505,25.267117,Baoshan
Boletus,ornatipes,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-09-20,99.30505,25.267117,Baoshan
Boletus,badius,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-03,99.30505,25.267117,Baoshan
Boletus,bicolor,Boletaceae,Basidiomycota,ECM,solitary,soil,edible,2014-07-21,99.30505,25.267117,Baoshan
Boletus,bicolor,Boletaceae,Basidiomycota,ECM,solitary,soil,edible,2014-08-20,99.300283,25.265783,Baoshan
Boletus,bicolor,Boletaceae,Basidiomycota,ECM,solitary,soil,edible,2013-07-21,99.30505,25.267117,Baoshan
Boletus,bicolor,Boletaceae,Basidiomycota,ECM,solitary,soil,edible,2013-07-22,99.300283,25.265783,Baoshan
Boletus,bicolor,Boletaceae,Basidiomycota,ECM,scattered,soil,edible,2013-07-27,99.30505,25.267117,Baoshan
Boletus,bicolor,Boletaceae,Basidiomycota,ECM,solitary,soil,edible,2013-08-21,99.300283,25.265783,Baoshan
Boletus,bicolor,Boletaceae,Basidiomycota,ECM,solitary,soil,edible,2013-09-10,99.30505,25.267117,Baoshan
Boletus,calopus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-07-27,99.300283,25.265783,Baoshan
Boletus,calopus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-07,99.300283,25.265783,Baoshan
Boletus,griseus,Boletaceae,Basidiomycota,ECM,solitary,soil,inedible,2013-08-07,99.30505,25.267117,Baoshan
Boletus,pinophilus,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-14,99.300283,25.265783,Baoshan
Boletus,pinophilus,Boletaceae,Basidiomycota,ECM,scattered,soil,inedible,2014-08-20,99.300283,25.265783,Baoshan
