Genus,Species name ,Family,Phyllum,No. of individual ,Nutrition type,Growth pattern,Substrate,Use,Long term plot (y/n),Months active,Year,Date,Plot name,Longitude,Latitude,Site,Forest type,Dominant tree,Dominant tree,Dominant tree,Land Cover Type
Amanita,pachycolea,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-25,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,pachycolea,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-07-24,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-08-20,TDS,99.293367,25.255817,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2013,2013-09-01,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-07,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-07-20,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-08-13,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-13,SRS-1,99.302217,25.2735,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-14,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-14,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-18,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-18,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-20,SRS-1,99.302217,25.2735,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2014,2014-08-25,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-26,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-31,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-07,SRS-1,99.302217,25.2735,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-09,SRS-2,99.30385,25.27335,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-15,SRS-3,99.303533,25.27325,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-07-20,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-13,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-13,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-15,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-18,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-08-18,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-25,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-25,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-08-31,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,scattered,soil,Inedible,Y,July-September,2014,2014-09-07,FBJ,99.300283,25.265783,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-15,TM,99.30505,25.267117,Baoshan,Type 7,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-22,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-22,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,solitary,soil,Inedible,Y,July-September,2014,2014-09-29,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
Amanita,parvipantherina,Amanitaceae,Basidiomycota,1,ECM,grouped,soil,Inedible,Y,July-September,2013,2013-07-03,DS,99.299017,25.27535,Baoshan,Type 6,No,No,No,
